Primary Museum Section,Saint Count,High Confidence,Medium Confidence,Low Confidence,Featured,Secondary,Tertiary,Featured Saints,Associated Families
Gujarat & Swaminarayan Traditions,163,5,158,0,5,9,149,"Sri Bhagavan Sri Swaminarayan of Gujarat (Sri Sahajanand Swami - Neelkanth Varuni); Sri Dadu Dayal ji of Naraina, Rajasthan; Sri Jalaram Babaji of Virpur, Gujarat; Sri Pramukh Swami Maharaj  (BAPS-5th Guru after Swaminarayan) of Gujarat; Sri Yogiji Maharaj(BAPS-4th Guru after Swaminarayn) ","CUR-FAM-SWAMINARAYAN-BAPS-GURUS | FAM-020 (3): Sri Bhagavan Sri Swaminarayan of Gujarat (Sri Sahajanand Swami - Neelkanth Varuni); Sri Pramukh Swami Maharaj  (BAPS-5th Guru after Swaminarayan) of Gujarat; Sri Yogiji Maharaj(BAPS-4th Guru after Swaminarayn)  | FAM-029 (2): Mahant Sri Sri Sri 108 Sri Ramcharan Das Tyagiji Maharaj of Varanasi ; Sri Sukhdev Das Ji Maharaj of Jaipur | FAM-034 (2): Sant Sri Bhoja Bhagat of Amreli, Gujarat; Sri Jalaram Babaji of Virpur, Gujarat | FAM-035 (2): Sri 1008 Bhikhi Bai Ji Maharaj of Behind Gorakhnath Ashram, Pushkar, Rajasthan; Sri Sri 1008 Sri Anuvrat Swami Ji of Behind Gorakhnath Mandir, Pushkar, Rajasthan | FAM-043 (2): Sri Dadu Dayal ji of Naraina, Rajasthan; Sri Garib Das ji of Naraina, Gujarat | FAM-049 (2): Sri Gori Shankar Giri (Nepal Baba - Chota Dadaji) of Sri Dada Darbar Sidhnat temple, Jodhpur, Rajasthan; Sri Swami Narayan Barah Dadaji Siddha Purushadas of Sri Dada Darbar Sidhnath temple, Jodhpur, Rajasthan  | FAM-070 (2): Sri Shanteshwar Maharaj ji Babaji of Sri Sri 1008 Ajneshwar Maharaj Ashram, Jodhpur, Rajasthan ; Sri Tulsidas ji Maharaj of Jodhpur, Rajasthan "
Needs Research,155,0,0,155,0,0,155,,"FAM-014 (3): Sri Janardhana Giri (Swami) Maharaj of Ellora ; Sri Paramananda Giri Maharaj of Aurangabad; Sri Shanti Giri Maharaj of Ellora  | FAM-036 (2): Sri Aditya Sabrup (Lal Baba) of Tara Mandir, Kangra; Sri Vishudhanand Ji Saraswati (Khir Baba) of Kangra, Himachal | FAM-041 (2): Sri Chidambar Mahaswami Dixit ; Sri Eshwar Shastri Dixit  | FAM-053 (2): Sri Hum Itho Ikaan Sidap of Manipur ; Sri Kuman Poreiton (Mauna Baba) of Assam | FAM-080 (2): Sri Yedehalli Ajji of Mughal Khod; Sri Yellaling Maharaj of Mughal Khod"
Braj & Krishna Bhakti,125,11,112,2,4,1,120,Banke Bihariji from Vrindavan (deity); Govardhan Shila supposedly from Advaita Acharya (but Guruji said its not!!); Sri Radha Raman (deity in Vrindavan) ; Sri Surdasji of ???,FAM-076 (2): Sri Sudama Das ji; Sri Vishnu Das Babaji of Vrindavan
Gaudiya Vaishnava,123,88,35,0,13,27,83,"Goswamis of Vrindavan ; Sri Chaitanya Mahaprabhu of Puri/ Navadwip; Sri Jagad Bandhu Sundar of Faridpur ; Sri Jagannath Das Babaji of Navadwip Dham, West Bengal ; Sri Krishna Chaitanya Das Babaji Maharaj of Navadwip, West Bengal 19 A; Sri Nityananda Prabhu of Navadwip; Sri Praanagopal Goswami of Navadwip ; Sri Radha Raman Charan Das of Bengal  ; Sri Sankaranya Puri Goswami of Navadwip ( Sri Yogendranath Goswami ) ; Sri Sri Bhaktivedanta Baman Goswami Maharaj of Navadwip ,; Sri Sri Siddha Chaitanya Das Babaji of Navadwip ; Sri Srimad Kishorikishorananda Das Babaji Maharaj Goswami of Navadwip (Tinkodi Baba) ; Sri Vishnupriya Devi of Navadwip ","FAM-001 (16): A. C. Bhaktivedanta Swami Prabhupada; Bhaktisiddhanta Sarasvati Thakura Goswami; Om Vishnupad Tridandi Swami 108 Sri Srimat Bhakti Sravan Tirtha Goswami Maharaj of Bhubaneshwar, Orissa | FAM-002 (12): Sri Baya Baba (Sri Srimad 108 Sachinandan Das Baba) of Bengal ; Sri Harendranath Mukarji of Panihati ; Sri Jagad Bandhu Sundar of Faridpur  | FAM-005 (9): Goswamis of Vrindavan ; Sri Chaitanya Mahaprabhu of Puri/ Navadwip; Sri Gopala Bhatta Goswami of Vrindavan | FAM-023 (3): Sri Binod Bihari Das Babaji of Barsana; Sri Sri Bhaktivedanta Baman Goswami Maharaj of Navadwip ,; Sri Srimad Kishorikishorananda Das Babaji Maharaj Goswami of Navadwip (Tinkodi Baba)  | FAM-053 (2): Sri Hum Itho Ikaan Sidap of Manipur ; Sri Kuman Poreiton (Mauna Baba) of Assam | FAM-055 (2): Sri Jiva Krishnadas Babaji of Pathbari Ashram, Calcutta ; Sri Nityananda Das Babaji of Calcutta  | FAM-058 (2): Sri Krishna Chaitanya Das Babaji Maharaj of Navadwip, West Bengal 19 A; Sri Vishwambhar Das Ji  Maharaj of Navadwip Dham, West Bengal  | FAM-067 (2): Sri Ramdas Babaji of Pathbari Ashram, Calcutta  ; Sri Srimad Madhusudan Das Babaji Maharaj of Pathbari Ashram  | FAM-073 (2): Sri Sri Nitya Gopal Avadhoot Maharaj of (Maha Nirvana Math;) Navadwip ; Sri Srimat Swami Nityapadanand Avadhoot of Navadwip  | FAM-074 (2): Sri Sri Siddha Chaitanya Das Babaji of Navadwip ; Sri Srila Krishnadas Babaji of Navadwip"
Maharashtra Guru Lineages,117,22,95,0,10,25,82,"Sri Bhagavan Nityananda of Ganeshpuri ; Sri Gajanan Maharaj of Shegaon; Sri Hazrat Babajan of Pune  ; Sri Meher Baba of Pune  ; Sri Narayan Maharaj of Khedgoan Bed ; Sri Samarth Ramdas of Sajjangad, Maharashtra; Sri Sathya Sai Baba of Puttaparthi; Sri Shirdi Sai Baba of Shirdi ; Sri Tajuddin Baba (Auliya) of Nagpur; Sri Upasani Maharaj of Shirdi","CUR-FAM-FIVE-PERFECT-MASTERS (6): Sri Shirdi Sai Baba of Shirdi; Sri Upasani Maharaj of Shirdi; Sri Hazrat Babajan of Pune; Sri Tajuddin Baba (Auliya) of Nagpur; Sri Narayan Maharaj of Khedgoan Bed; Sri Meher Baba of Pune | FAM-007 (8): Sri Bala Sai Baba of Kurnool; Sri Godavari Mata; Sri Hazrat Babajan of Pune   | FAM-012 (5): Sri Dada Godsay of Pune ; Sri Samarth Ramdas of Sajjangad, Maharashtra; Sri Shivaji Maharaj of Maharashtra | FAM-013 (4): Balyogi Sri Sadanand Maharaj of Ganeshpuri; Sri Bhagavan Nityananda of Ganeshpuri ; Sri Kuttiram Nityanand Swami of Ganeshpuri | FAM-014 (3): Sri Janardhana Giri (Swami) Maharaj of Ellora ; Sri Paramananda Giri Maharaj of Aurangabad; Sri Shanti Giri Maharaj of Ellora  | FAM-021 (3): Sri Bhaskar Maharaj of Shegaon; Sri Gajanan Maharaj of Shegaon; Vasudev Maharaj | FAM-024 (3): Sri Daji Maharaj (Bhaiya ji Maharaj) of Nagpur; Sri Shafi Baba Kadari (Taji) of Nagpur; Sri Tajuddin Baba (Auliya) of Nagpur | FAM-030 (2): Paramahamsa Sri Pundalik Baba of Murtyjapur; Sri Anashuya Mataji of Paradsinga, near Arunachala  | FAM-032 (2): Sadhu T.L. Vaswani; Sri Dada J.P. Vaswani of Pune | FAM-047 (2): Sri Ganore Baba of Bhukum, near Pune; Sri Sita Mai of Bhukum, near Pune  | FAM-056 (2): Sri Kashi Nath Gagare Maharaj Dada of Mulund, Mumbai; Sri Pachale Gaonkar Ji Maharaj of Hingoli/Mumbai  | FAM-059 (2): Sri Krishna Saraswati Datt Maharaj of Kolhapur; Sri Naamdevji Maharaj of Pandharpur/Kolhapur"
Girnar & Nath Traditions,94,8,75,11,3,15,76,"Sant Sri Kashmiri Bapu of Girnar, Junagadh, Gujarat; Sri Jaganath Das Ji Maharaj  ; Sri Satyendranath Swami of Nikamwadi village, Kolhapur","FAM-016 (3): Nange Baba; Sri Adhbhangnath Maharaj (Arjun Baba) of Dvaha Village, Hingoli ; Vidurdas Maharaj (Vishwanath Baba) | FAM-025 (3): Sri Mahantji 108 Shivgiriji Maharaj of Neelgiri Parvat, Triyambakeshwar, Nashik, Madhya Pradesh; Sri Sri 108 Sri Bhagat Giri Bacchu Maharaj of Amoleshwar Dham, distr. Umariya, Dindauri, Madhya Pradesh; Sri Thanapati Sukhdev Giri of Sri Panch Dashnam, Juna Akhara, Neelparvat, Triyambakeshwar, Nashik | FAM-027 (2): Mahant Sri Komalanand Giriji Maharaj of Muchukunda Goofa, Girnar ; Sri Umed Giri Maharaj of Muchukunda Goofa, Girnar | FAM-028 (2): Mahant Sri Mahakal Giriji Maharaj of Girnar; Sri Digambar Manmast Mahesh Giri Maharaj of Girnar  | FAM-037 (2): Sri Amritananda Natha Saraswati of Devipuram; Sri Minati Patra Brahmacharini | FAM-039 (2): Sri Balabai of Nikamwadi village, Kolhapur; Sri Satyendranath Swami of Nikamwadi village, Kolhapur | FAM-040 (2): Sri Bhagat ji of Gorakpur (Gita Vatika) ; Sri Radha Babaji of Gorakpur  | FAM-054 (2): Sri Jaganath Das Ji Maharaj  ; Sri Raghavdas Ji Maharaj of Vrindavan  | FAM-056 (2): Sri Kashi Nath Gagare Maharaj Dada of Mulund, Mumbai; Sri Pachale Gaonkar Ji Maharaj of Hingoli/Mumbai  | FAM-065 (2): Sri Radhikadasji Maharaj of Mari (Paral?), Girnar, Ramji Ashram ; Sri Tyagi Rameshwardasji Maharaj of Girnar, Rama Temple "
Kashi & Ascetic Lineages,80,1,79,0,2,7,71,Sri Narayan Baba of Delhi; Sri Tailanga Swami of Varanasi ,"FAM-048 (2): Sri Girinari Baba of Arail, Naini, Prayagraj; Sri Sachcha Baba of Arail, Naini, Prayagraj | FAM-057 (2): Sri Khappar Baba of Ahraura, Mirzapur, U.P. ; Sri Sudarshan Dasji of Ahraura, Mirzapur, U.P.  | FAM-078 (2): Sri Swami Narayan Tirth Maharaj of Siddhayogi Ashram, Varanasi ; Sri Swami Shankar Purushottam Tirth Maharaj of Varanasi "
Rishikesh-Haridwar & Himalayan Monastic Lineages,78,18,60,0,8,19,51,"Badrinarayana deity of Badrinath ; Mahavatar Kriya Babaji; Sri Haidakhan Babaji of Haidakhan, Uttarakhand; Sri Lahiri Mahasaya of Varanasi ; Sri Paramahamsa Yogananda of Gorakhpur ; Sri Swami Chinmayananda of Tapovan Ashram, Dharamshala ; Sri Swami Shivananda Saraswati of Rishikesh ; Sri Swami SriYukteshwar Giri of Serampur","FAM-004 (11): Mahavatar Kriya Babaji; Sri Daya Mata of Salt Lake City, Utah, USA ; Sri Durga Mata of Iron Mountain, Michigan, USA  | FAM-009 (5): Sri Akhil Brahmanand Nayika Parivajakacharya Paramahamsa Yogini Vishwamata Sadguru Om Malati Devi of Miraj; Sri Maa Bhavamayee Paramahansa of Puri ; Sri Swami Chidananda Saraswati of Rishikesh | FAM-018 (3): Sri Baba Sitaramanada Swami ; Sri Haidakhan Babaji of Haidakhan, Uttarakhand; Sri Mahendra Das Baba of Vrindavan | FAM-022 (3): Sri Bhramachaitanya Gondolekar Maharaj; Sri Swami Chinmayananda of Tapovan Ashram, Dharamshala ; Sri Tukamayi of Hingoli | FAM-046 (2): Sri Gangavarti of Bhadrinath; Sri Swami Dharmaraj Bharati Mouni Baba of Badrinath | FAM-063 (2): Sri Paramahamsa Sant Vedananda Saraswati Maharaj of Vedananda Tapovan, Dwarahat; Sri Vitthalananda Saraswati (Vitthal Babaji) of Pandharpur/ Kurvapur | FAM-077 (2): Sri Swami Bhoomanand ji Maharaj of Uttarkashi; Sri Swami Ramji Maharaj (Udasin Saint) of Uttarkashi"
"Bengal Shakta, Baul & Modern Saints",75,14,61,0,4,16,55,"Sri (Ishwar) Tota Puri Baba of Punjap/ or Puri/ - wandering monk; Sri Anandamoyi Ma of Bangladesh ; Sri Mirra Alfassa of Auroville, near Puducherry, Tamil Nadu; Sri Paramahansa Ramakrishna of Calcutta","CUR-FAM-AUROBINDO-INTEGRAL-YOGA | FAM-008 (5): Sri (Ishwar) Tota Puri Baba of Punjap/ or Puri/ - wandering monk; Sri Lakshmi Mani Devi of Calcutta ; Sri Manisen of Panihati  | FAM-010 (5): Sri Anandamoyi Ma of Bangladesh ; Sri Baba Bolanath of Bangladesh; Sri Ramani Mohan Chakrabarti later Bholanath of Haridwar, Dehradun, Uttharkand/ Vikrampur, UP | FAM-026 (3): Sri Parvathy Baul of Thiruvananthapuram, Kerala (originally from Bengal); Sri Ravi Gopalam Nair of Nedumangad, Trivandrum, Kerala; Sri Shashanko Goshai of Shingar Village of Murshidabad District, West Bengal  | FAM-031 (2): Paramahamsa Sri Swami Nigammananda ji Saraswati Deva of Calcutta; Sri Bamakhepa Baba of Tarapith  | FAM-042 (2): Sri Dadaji Dilip Kumar Roy of Pune ; Sri Indira Devi of Pune | FAM-067 (2): Sri Ramdas Babaji of Pathbari Ashram, Calcutta  ; Sri Srimad Madhusudan Das Babaji Maharaj of Pathbari Ashram  | FAM-075 (2): Sri Srimad Swami Lakshman Ramanuj of Sri Rangam, Phal Hari Jiyarmath ; Sri Srimad Swami Parang Kush Ramanuj of Calcutta "
Andhra Avadhuta & Datta-Advaita Lineages,50,1,49,0,1,11,38,"Sri Potuluri Veerabrahmendhra Swami Varu of Brahmamgari Matam, Kadapa, Andhra Pradesh","FAM-037 (2): Sri Amritananda Natha Saraswati of Devipuram; Sri Minati Patra Brahmacharini | FAM-038 (2): Sri Avadhuta Polai Tata Swami Venkatapalem; Sri Prabarkar Garu of Andhra Pradesh | FAM-052 (2): Sri Hanumath Kali Vara Prasada Babuji Maharaj; Yogini Sri Chandra Kali Prasad Mataji  | FAM-064 (2): Sri Potuluri Veerabrahmendhra Swami Varu of Brahmamgari Matam, Kadapa, Andhra Pradesh; Sri Siddhaiah Swami of near Paluguvallapalle, Kadapa district, Andhra Pradesh | FAM-068 (2): Sri Ramyananda Bharathi Swamini of Guntur, Andhra Pradesh; Sri Siddheswarananda Bharati Swami of Guntur, Andhra Pradesh | FAM-069 (2): Sri Sadwi Pushpamata of Kaikalur, Krishna district, Eluru, near Guntur, Andhra Pradesh; Sri Sri Sri Shiva Satya Balayogi Swami ji of Kondangi Ashram, Kaikalur, Krishna district, Eluru, (near Guntur) Andhra Pradesh | FAM-072 (2): Sri Siddha Datta Avadoota of Malleswaram, Andhra Pradesh; Sri Sri Krishna Paramahamsa Swami of Malleswaram, near Siddantam, Andhra Pradesh"
