FamilyID,FamilySize,RecordId,Name,Masters,Disciples,Partner,Incarnation,NormalizedPlaces,SpiritualRegion,Sampradaya,BirthDate,SamadhiDate,BirthYear,SamadhiYear
FAM-001,16,recdWTI4NXwgPek2O,A. C. Bhaktivedanta Swami Prabhupada,rec4ZYq1brPdqn8Px,recu0OJ76jqCF2Wmj,,,,Braj Mandal,Brahma-Madhva-Gaudiya Sampradaya???,1896-09-01,1977-11-14,1896,1977
FAM-001,16,rec4ZYq1brPdqn8Px,Bhaktisiddhanta Sarasvati Thakura Goswami,recjEQvrerGobZcVO,recdWTI4NXwgPek2O;rec8kLoCs2julYZOc;reccRAlL008YucnZG;recDske4jSTiuYtga;receYXrNaTeGyvi3M;reckHUfQ5SSZ3CGWg;recyu7A0Cmfh0EA9N;recozhkjd7tfSJLxO;recsy2wkjoTURVDaG,,,,Coastal Odisha; Jagannath-Puri Tradition,Gaudiya Vaishnava,1874-02-06,1936-12-31,1874,1936
FAM-001,16,recMF6lJ4Vq5sZPUN,"Om Vishnupad Tridandi Swami 108 Sri Srimat Bhakti Sravan Tirtha Goswami Maharaj of Bhubaneshwar, Orissa",recDske4jSTiuYtga,,,,,Coastal Odisha,Gaudiya Vaishnava,16.03.1926,01.12.2004,1926,2004
FAM-001,16,recu0OJ76jqCF2Wmj,"Sri Aindra Prabhu of Arlington, USA",recdWTI4NXwgPek2O,,,,,Global,Gaudiya Vaishnava,1953-03-12,2010-07-17,1953,2010
FAM-001,16,recyu7A0Cmfh0EA9N,"Sri Aoudolom Maharaj of Cuttack, Orissa ",rec4ZYq1brPdqn8Px,,,,,Coastal Odisha,Gaudiya Vaishnava,,,,
FAM-001,16,rec3ulkcd4vs7FA6v,"Sri Balak Siddha Mahatma Srila Yadav Chandra Rai (Balak Sadhu) of Jagannath Bari, Navadwip   ",,recDske4jSTiuYtga;reccRAlL008YucnZG;rec8kLoCs2julYZOc;reckHUfQ5SSZ3CGWg,,,,Gaudiya Vaishnava Heartland,Sri Vaishnava,06.02.1874,01.01.1937,1874,1937
FAM-001,16,recDske4jSTiuYtga,"Sri Bhakti Pradeep Tirtha Goswami Maharaj of Cuttack, Orissa",rec4ZYq1brPdqn8Px;rec3ulkcd4vs7FA6v,recMF6lJ4Vq5sZPUN,,,,Coastal Odisha,Gaudiya Vaishnava,1877,1953,1877,1953
FAM-001,16,reccRAlL008YucnZG,"Sri Bhakti Prasad Puri Goswami Maharaj of Cuttack, Orissa 18 C",rec4ZYq1brPdqn8Px;rec3ulkcd4vs7FA6v,,,,,Coastal Odisha,Gaudiya Vaishnava,1895,1940,1895,1940
FAM-001,16,reckHUfQ5SSZ3CGWg,"Sri Bhakti Sri Rupesh Bhagavat Goswami Maharaj of Cuttack, Orissa ",rec4ZYq1brPdqn8Px;rec3ulkcd4vs7FA6v,,,,,Coastal Odisha,Gaudiya Vaishnava,1897,,1897,
FAM-001,16,rec8kLoCs2julYZOc,"Sri Bhakti Sumit Paribrajak Maharaj of Cuttack, Orissa",rec4ZYq1brPdqn8Px;rec3ulkcd4vs7FA6v,,,,,Coastal Odisha,Gaudiya Vaishnava,1947,,1947,
FAM-001,16,recjEQvrerGobZcVO,Sri Gaura Kishor Das Babaji of Navadwip ,recs5oR89BMYi1sGB,rec4ZYq1brPdqn8Px,,,,Gaudiya Vaishnava Heartland,,18.11.1838,,1838,
FAM-001,16,recs5oR89BMYi1sGB,"Sri Jagannath Das Babaji of Navadwip Dham, West Bengal ",,recjEQvrerGobZcVO;recseCcZfyiPXe8GD,,,,Gaudiya Vaishnava Heartland,Gaudiya Vaishnava,,,,
FAM-001,16,recseCcZfyiPXe8GD,"Sri Prabhupad Srimad Jay Nitai Das Babaji of Navadwip, West Bengal ",recs5oR89BMYi1sGB,,,,,Gaudiya Vaishnava Heartland,Nityananda Sampradaya,1307,1415,1307,1415
FAM-001,16,recsy2wkjoTURVDaG,Sri Srila Srimad Bhakti Kamal Madhusudan Goswami Maharaj of Mayapur ,rec4ZYq1brPdqn8Px,,,,,Gaudiya Vaishnava Heartland,Gaudiya Vaishnava,19.12.1901,,1901,
FAM-001,16,receYXrNaTeGyvi3M,"Sri Srimat Bhakti Pramod Paryajak Maharaj of Bhubaneswar, Tridandi Gaudiya Math ",rec4ZYq1brPdqn8Px,,,,,Coastal Odisha,Gaudiya Vaishnava,1907,2000,1907,2000
FAM-001,16,recozhkjd7tfSJLxO,Sri Tridandi Swami Srimad Bhakti Pramod Puri Goswami Maharaj of Mayapur ,rec4ZYq1brPdqn8Px,,,,,Gaudiya Vaishnava Heartland,Gaudiya Vaishnava,1898-10-08,1999-11-02,1898,1999
FAM-002,12,recNmKsCz7Kg7x7Dr,Sri Baya Baba (Sri Srimad 108 Sachinandan Das Baba) of Bengal ,recqPwPML5FbWMvaV,,,,,West Bengal General; Odisha General,Gaudiya Vaishnava,1898,1981,1898,1981
FAM-002,12,rec1bOVrWmAFek7Tn,Sri Harendranath Mukarji of Panihati ,recqPwPML5FbWMvaV,,,,,Gaudiya Vaishnava Heartland,Gaudiya Vaishnava,1920,1995,1920,1995
FAM-002,12,recKh2RvgoYZimvdt,Sri Jagad Bandhu Sundar of Faridpur ,,recqPwPML5FbWMvaV;recsYELxoJkSd4fJB;rec72DZPKexDMty7G;recOs3jGNyfMlakIB,,,,South Asia,,28.04.1871,17.09.1921,1871,1921
FAM-002,12,recvIK4EYJwVrkvk5,"Sri Krishnananda Das Babaji of Pathbari Ashram, Calcutta 14 D",recqPwPML5FbWMvaV,,,,,Kolkata Spiritual Sphere,Gaudiya Vaishnava,1914,1990,1914,1990
FAM-002,12,recsYELxoJkSd4fJB,Sri Mahanambrata Brahmachari of Bangladesh ,recKh2RvgoYZimvdt,,,,,South Asia,Gaudiya Vaishnava,1904-12-25,1999-10-18,1904,1999
FAM-002,12,recmJs0NX4r3MNORL,Sri Murali Das Babaji Maharaj of Pathbari Ashram,recqPwPML5FbWMvaV,,,,,Gaudiya Vaishnava Heartland,,,,,
FAM-002,12,reco84eCakzUdrmmP,Sri Radha Raman Charan Das of Bengal  ,rec7cV8OOW6dYau1K,recqPwPML5FbWMvaV;recsygmC7mtnPPp1W,,,,South Asia,,1853-04-13,"second day of month phalguna sukla paksha, bangabda 1905",1853,1905
FAM-002,12,rec72DZPKexDMty7G,Sri Rajarshi Banamali Roy of Vrindavan ,recKh2RvgoYZimvdt,,,,,Braj Mandal,,1862,,1862,
FAM-002,12,recOs3jGNyfMlakIB,Sri Rajarshi Banamali Roy of Vrindavan ,recKh2RvgoYZimvdt,,,,,Braj Mandal,,,,,
FAM-002,12,recqPwPML5FbWMvaV,Sri Ramdas Babaji Maharaj of Bengal ,recKh2RvgoYZimvdt;reco84eCakzUdrmmP,rec1bOVrWmAFek7Tn;recmJs0NX4r3MNORL;recNmKsCz7Kg7x7Dr;recvIK4EYJwVrkvk5,,,,South Asia,,,1953,,1953
FAM-002,12,rec7cV8OOW6dYau1K,Sri Sankaranya Puri Goswami of Navadwip ( Sri Yogendranath Goswami ) ,,reco84eCakzUdrmmP,,,,Gaudiya Vaishnava Heartland,Nityananda Sampradaya,,,,
FAM-002,12,recsygmC7mtnPPp1W,"Sri Srimat Govardhandas Babaji of Puri, Orissa ",reco84eCakzUdrmmP,,,,,Jagannath-Puri Tradition,Gaudiya Vaishnava,,,,
FAM-003,11,rec2H25WTkUXoX3wl,Dattatreya (Girnar) ,,recEhlZJadMj1ae8L,,rec542avx5EJLdPqI;recEvPtUXEpvPZtBk;recAdoHb834kJnkig,,Girnar & Nath Tradition,,,,,
FAM-003,11,recUzBdPjfszv1w8D,Sri Ballapa Maharaj of Akkalkot ,recAdoHb834kJnkig,recKmUNZB0LwvnQYV;recWCBILl4t5fUT1c,,,,Datta Sampradaya Belt,,,,,
FAM-003,11,recEGuGQQ4N4EXAil,Sri Dattatreya Sonar of Mungurwadi,recKmUNZB0LwvnQYV,,,,,,,,,,
FAM-003,11,recWCBILl4t5fUT1c,Sri Gangadhara Maharaj of Akkalkot,recUzBdPjfszv1w8D,,,,,Datta Sampradaya Belt,,,,,
FAM-003,11,recrMH17Ga8tP11z0,Sri Gawdi Baba of Narsobawadi,recEhlZJadMj1ae8L,,,,,Datta Sampradaya Belt,,1946-04-27,Still alive,1946,
FAM-003,11,rec542avx5EJLdPqI,"Sri Narasimha Saraswati 
of Lad-Karanja, Washim, Vidarbha, Maharashtra",,,,rec2H25WTkUXoX3wl;recEvPtUXEpvPZtBk;recAdoHb834kJnkig,,Maharashtra General,,,,,
FAM-003,11,recEvPtUXEpvPZtBk,"Sri Narasimha Saraswati of Narasimha Wadi, Kolhapur,  Maharashtra ",,,,rec2H25WTkUXoX3wl;rec542avx5EJLdPqI;recAdoHb834kJnkig,,Datta Sampradaya Belt,,1378,1459,1378,1459
FAM-003,11,recKmUNZB0LwvnQYV,Sri Pant Maharaj of Balekundri/ Mungarwadi,recUzBdPjfszv1w8D,recEGuGQQ4N4EXAil,,,,Veerashaiva / Lingayat Belt,,1855-09-03 (Gokulashtami),1905-10-16,1855,1905
FAM-003,11,recEhlZJadMj1ae8L,Sri Tembe Swami ,rec2H25WTkUXoX3wl,recZ8dSUCZSv0HSTl;recrMH17Ga8tP11z0,,,,Modern Guru Centers; Narmada Region; Nath & Shaiva Maharashtra,,1854-08-13,1914,1854,1914
FAM-003,11,recAdoHb834kJnkig,Swami Samarth Maharaj of Akkalkot,,recUzBdPjfszv1w8D,,rec2H25WTkUXoX3wl;rec542avx5EJLdPqI;recEvPtUXEpvPZtBk,,Datta Sampradaya Belt,,,,,
FAM-003,11,recZ8dSUCZSv0HSTl,Yogananda Swami,recEhlZJadMj1ae8L,,,,,,,,,,
FAM-004,11,recoRltXupeZas8zP,Mahavatar Kriya Babaji,,reciPBtb5T1Js7Lqz;recH8o102sJ3mQ7aT;recx6n6mmw1tEEnFF;recKFP79mZ8Fyhvao,,,,Char Dham & Upper Himalaya,Kriya Yoga,,,,
FAM-004,11,recUCW4T6Le8f3ZdX,"Sri Daya Mata of Salt Lake City, Utah, USA ",reciPBtb5T1Js7Lqz,,,,,Global,Kriya Yoga,,,,
FAM-004,11,recIc9E1BwdIFc4OD,"Sri Durga Mata of Iron Mountain, Michigan, USA ",reciPBtb5T1Js7Lqz,,,,,Global,Kriya Yoga,08.11.1903,1993,1903,1993
FAM-004,11,rec9T6tpXGtrCWdxV,"Sri Hariharananda Giri of Karar Ashram, Puri ",recH8o102sJ3mQ7aT,,,,,Gaudiya Vaishnava Heartland,Gaudiya Vaishnava,,,,
FAM-004,11,recx6n6mmw1tEEnFF,Sri Lahiri Mahasaya of Varanasi ,recoRltXupeZas8zP,recH8o102sJ3mQ7aT;recLVwMPBTBcxHJG1,,,,Kashi Region,Kriya Yoga,1828-09-30,1895-09-26,1828,1895
