FamilyID,SaintCount,TreeFile,States,SpiritualRegions,Sampradayas
FAM-001,16,family-trees/fam-001-tree.svg,,"Coastal Odisha (8), Gaudiya Vaishnava Heartland (6), Braj Mandal (1)","Gaudiya Vaishnava (12), Brahma-Madhva-Gaudiya Sampradaya??? (1), Nityananda Sampradaya (1)"
FAM-002,12,family-trees/fam-002-tree.svg,,"South Asia (4), Gaudiya Vaishnava Heartland (3), Braj Mandal (2)","Gaudiya Vaishnava (5), Nityananda Sampradaya (1)"
FAM-003,11,family-trees/fam-003-tree.svg,,"Datta Sampradaya Belt (5), Girnar & Nath Tradition (1), Maharashtra General (1)",
FAM-004,11,family-trees/fam-004-tree.svg,,"Gaudiya Vaishnava Heartland (3), Global (3), Braj Mandal (1)","Kriya Yoga (7), Gaudiya Vaishnava (1), Ramanandi Sampradaya (1)"
FAM-005,9,family-trees/fam-005-tree.svg,,"Braj Mandal (4), Gaudiya Vaishnava Heartland (3), Jagannath-Puri Tradition (2)",Gaudiya Vaishnava (3)
FAM-006,8,family-trees/fam-006-tree.svg,,"Jagannath-Puri Tradition (6), Braj Mandal (2), Kashi Region (2)",Gaudiya Vaishnava (1)
FAM-007,8,family-trees/fam-007-tree.svg,,"Maharashtra General (3), Modern Guru Centers (2), Andhra Pradesh General (1)",Advaita Vedanta (1)
FAM-008,5,family-trees/fam-008-tree.svg,,"Kolkata Spiritual Sphere (3), Jagannath-Puri Tradition (2)","Gaudiya Vaishnava (1), Satnami Puri Sampradaya (1)"
FAM-009,5,family-trees/fam-009-tree.svg,,"Rishikesh-Haridwar Spiritual Corridor (2), Jagannath-Puri Tradition (1), Kerala General (1)",Shivananda (1)
FAM-010,5,family-trees/fam-010-tree.svg,,"South Asia (2), Gaudiya Vaishnava Heartland (1), Rishikesh-Haridwar Spiritual Corridor (1)",
FAM-011,5,family-trees/fam-011-tree.svg,,"Andhra Pradesh General (2), Shaiva Siddhanta Heartland (2), Coastal Andhra (1)",Ramana Maharshi (2)
FAM-012,5,family-trees/fam-012-tree.svg,,"Modern Guru Centers (3), Datta Sampradaya Belt (1), Maharashtra General (1)",
FAM-013,4,family-trees/fam-013-tree.svg,,Maharashtra General (4),
FAM-014,4,family-trees/fam-014-tree.svg,,Maharashtra General (3),
FAM-015,3,family-trees/fam-015-tree.svg,,Braj Mandal (2),Ramanandi Sampradaya (1)
FAM-016,3,family-trees/fam-016-tree.svg,,Nath & Shaiva Maharashtra (1),
FAM-017,3,family-trees/fam-017-tree.svg,,"Bihar General (1), Braj Mandal (1)",
FAM-018,3,family-trees/fam-018-tree.svg,,"Braj Mandal (1), Kumaon Saints (1)",
FAM-019,3,family-trees/fam-019-tree.svg,,"Modern Guru Centers (2), South Asia (1), Varkari Heartland (1)",Vaikari (1)
FAM-020,3,family-trees/fam-020-tree.svg,,"Gujarat General (2), Swaminarayan & Modern Gujarat (1)",Swaminarayan (3)
FAM-021,3,family-trees/fam-021-tree.svg,,Gajanan Maharaj & Vidarbha Saints (2),
FAM-022,3,family-trees/fam-022-tree.svg,,"Nath & Shaiva Maharashtra (1), Rishikesh-Haridwar Spiritual Corridor (1)",
FAM-023,3,family-trees/fam-023-tree.svg,,"Gaudiya Vaishnava Heartland (2), Braj Mandal (1)",Nityananda Sampradaya (1)
FAM-024,3,family-trees/fam-024-tree.svg,,Gajanan Maharaj & Vidarbha Saints (3),
FAM-025,3,family-trees/fam-025-tree.svg,,"Nath & Shaiva Maharashtra (2), Madhya Pradesh General (1)",Juna Akhara (3)
FAM-026,3,family-trees/fam-026-tree.svg,,"West Bengal General (2), Kerala General (1), Southern Kerala (1)",Baul (3)
